number,value,datetime_start,datetime_complete,duration,params_BEZIER_REDUNDANCY,params_KP,params_KV,state
0,0.704850674755298,2024-11-12 16:24:55.747262,2024-11-12 16:26:27.194243,0 days 00:01:31.446981,1,168.13421018617348,559.4338262157861,COMPLETE
1,0.1652696577080271,2024-11-12 16:26:27.194581,2024-11-12 16:27:56.676809,0 days 00:01:29.482228,1,378.59688399538186,54.7400161767782,COMPLETE
2,0.4665439408398438,2024-11-12 16:27:56.678029,2024-11-12 16:29:33.946309,0 days 00:01:37.268280,3,6151.253617168275,285.5030632341353,COMPLETE
3,0.25509434973402867,2024-11-12 16:29:33.946658,2024-11-12 16:31:10.179273,0 days 00:01:36.232615,2,1841.6431025686231,125.9239256171804,COMPLETE
4,0.4828159017278507,2024-11-12 16:31:10.179614,2024-11-12 16:32:26.489359,0 days 00:01:16.309745,1,3506.6696182174805,434.5642477671507,COMPLETE
5,0.6988525461632383,2024-11-12 16:32:26.489772,2024-11-12 16:33:52.224325,0 days 00:01:25.734553,3,2865.1318407616236,193.51301243358114,COMPLETE
6,0.10387229661948238,2024-11-12 16:33:52.224656,2024-11-12 16:35:20.973259,0 days 00:01:28.748603,2,5542.597266590925,213.52561665403695,COMPLETE
7,0.5885157393089049,2024-11-12 16:35:20.973611,2024-11-12 16:37:08.454366,0 days 00:01:47.480755,2,213.22239822016584,149.04939235535647,COMPLETE
8,0.4282945588354917,2024-11-12 16:37:08.454730,2024-11-12 16:38:39.964235,0 days 00:01:31.509505,2,836.8786615920129,503.4272078971049,COMPLETE
9,0.3821402111063384,2024-11-12 16:38:39.964603,2024-11-12 16:40:20.001815,0 days 00:01:40.037212,3,577.9189772679877,21.568605594573214,COMPLETE
10,0.5435052947174357,2024-11-12 16:40:20.002137,2024-11-12 16:42:06.498050,0 days 00:01:46.495913,2,9133.625009697487,986.1391937688898,COMPLETE
11,0.3567351196699098,2024-11-12 16:42:06.498390,2024-11-12 16:43:36.173584,0 days 00:01:29.675194,1,400.24936536568146,59.39952075770143,COMPLETE
12,0.3751058809277379,2024-11-12 16:43:36.174815,2024-11-12 16:45:05.767899,0 days 00:01:29.593084,1,101.5745566831078,67.20552157726183,COMPLETE
13,0.3138625977943261,2024-11-12 16:45:05.769110,2024-11-12 16:46:37.254349,0 days 00:01:31.485239,1,1363.2426374047195,40.643031955449,COMPLETE
14,9.18873053048877e-16,2024-11-12 16:46:37.254735,2024-11-12 16:48:13.001043,0 days 00:01:35.746308,2,350.13470220781005,96.93051551751779,COMPLETE
15,0.6710497762548677,2024-11-12 16:48:13.001376,2024-11-12 16:49:41.948770,0 days 00:01:28.947394,2,702.0848082694642,95.2765489925984,COMPLETE
16,0.49936651330229903,2024-11-12 16:49:41.950035,2024-11-12 16:51:10.534314,0 days 00:01:28.584279,2,4478.581511298406,193.8068881271945,COMPLETE
17,0.5072978479385544,2024-11-12 16:51:10.534665,2024-11-12 16:52:55.778214,0 days 00:01:45.243549,3,1899.5339612253538,294.54276600043283,COMPLETE
18,0.5073441094409112,2024-11-12 16:52:55.778575,2024-11-12 16:53:49.240958,0 days 00:00:53.462383,2,273.073666366711,28.880406820820365,COMPLETE
19,0.2583437786636354,2024-11-12 16:53:49.242015,2024-11-12 16:55:20.707665,0 days 00:01:31.465650,2,9271.567489047726,88.93072785156905,COMPLETE
